"","sample1","sample10","sample13","sample14","sample17","sample18","sample2","sample21","sample22","sample5","sample6","sample9"
"rpl24",9689,6399,9962,10377,11260,9000,14207,7573,9695,9015,18661,9363
"cep97",110,111,122,124,166,112,102,142,152,164,202,154
"nfkbiz",110,120,146,129,83,95,151,96,85,111,201,100
"eed",169,167,206,210,235,174,199,221,232,198,366,216
"hikeshi",183,121,196,190,227,168,218,158,197,234,338,135
"tmem39a",87,72,77,140,94,91,76,72,143,85,183,107
"ildr1a",170,149,179,151,152,145,339,109,146,135,274,134
"LOC100332762",213,165,223,243,225,159,236,177,196,204,228,149
"si:zfos-1011f11.1",506,355,532,451,427,325,636,290,415,346,568,529
"zgc:163025",10,21,9,17,7,11,46,10,7,16,28,7
"f7",3,11,1,1,1,4,49,1,4,7,73,12
"f7i",0,6,0,1,2,5,23,1,5,1,52,11
"f10",635,502,796,732,607,833,1213,385,989,584,1084,477
"prozb",55,35,71,67,72,89,98,58,77,60,116,103
"pcid2",311,217,289,368,373,265,371,302,310,406,401,299
"cul4a",874,785,1051,825,891,808,966,861,770,930,734,758
"zgc:64072",1724,1236,1698,1461,1668,1522,1691,1344,1448,1504,1499,1515
"grtp1a",55,78,59,89,85,70,82,75,95,55,99,83
"adprhl1",10,21,12,11,22,17,8,14,2,6,13,34
"dcun1d2b",571,438,588,529,664,462,658,475,538,541,632,479
"tmco3",109,76,161,92,141,103,106,98,103,118,120,97
"tfdp1b",108,79,99,151,99,80,103,90,132,125,173,111
"grk1a",2,22,2,0,1,1,3,6,3,1,1,2
"cenpe",180,167,250,297,137,112,148,352,314,240,169,160
"tmem255b",7,14,7,4,6,8,3,1,7,2,1,1
"LOC108187164",31,67,63,35,38,56,61,35,57,31,44,64
"gas6",539,337,540,493,531,466,513,403,504,498,491,417
"pros1",506,288,438,580,530,477,684,304,520,387,585,353
"rasa3",704,926,831,742,881,738,736,930,679,831,382,661
"tpp2",523,608,568,568,506,473,633,573,651,526,413,530
"LOC100149425",25,84,53,40,60,54,24,26,46,36,16,32
"zgc:92518",19,33,29,27,17,38,31,12,24,16,36,42
"ercc5",287,242,291,233,313,255,277,252,278,349,305,189
"blzf1",367,326,335,331,500,360,389,370,383,471,467,328
"trmt10c",178,157,217,219,227,236,177,183,193,194,261,169
"txnl4b",172,93,190,200,224,138,169,179,138,136,198,163
"si:ch73-41e3.7",8,9,12,9,15,4,6,14,13,10,6,8
"mrpl16",267,236,435,496,386,318,273,427,506,392,601,447
"cenpq",61,31,74,72,49,27,38,55,66,47,30,43
"LOC101885604",44,35,57,47,54,27,31,33,41,21,29,48
"mir155",0,0,0,0,0,0,0,0,0,0,0,0
"mrpl39",151,152,197,212,237,180,175,195,230,194,354,208
"jam2a",87,58,111,89,107,90,130,62,105,73,78,69
"atp5j",718,601,954,1081,1037,804,930,901,1111,983,1740,1020
"appa",10303,9634,12162,10540,12062,9901,9918,13120,10880,11430,6269,11685
"cyyr1",107,128,130,204,178,146,104,156,238,133,185,207
"adamts1",310,388,333,255,309,474,569,310,377,316,248,262
"adamts5",114,112,125,92,97,77,93,108,79,90,45,116
"n6amt1",175,115,201,169,180,152,179,134,178,147,192,161
"gart",142,163,248,245,189,188,152,254,249,226,262,189
"LOC100332351",274,162,269,208,270,183,308,194,213,187,196,233
"LOC101886071",0,0,2,3,0,0,0,0,0,1,0,1
"donson",7,7,16,19,11,7,6,10,14,7,7,7
"runx1",60,39,50,66,53,54,51,47,82,52,28,71
"mir459",0,0,0,0,1,0,0,0,0,0,2,0
"urp2",71,77,102,104,110,77,88,103,93,132,89,133
"LOC100333907",75,91,84,87,66,82,95,80,83,76,51,44
"atp1a1a.4",1900,1310,2075,1282,1363,2017,1850,528,981,1835,2955,1111
"atp1a1a.1",9473,10220,11734,11319,12158,10973,10760,12207,11559,10428,7138,12302
"LOC108187381",0,1,1,0,0,0,0,0,0,0,0,0
"atp1a1a.2",1521,707,1107,1515,556,977,1806,535,1090,708,1083,1005
"atp1a1a.3",387,196,303,287,300,253,480,130,351,241,280,279
"atp1a1a.5",32,24,25,26,54,24,50,20,37,63,53,32
"si:ch211-132g1.3",126,125,106,124,137,119,134,215,209,139,89,130
"LOC103911757",80,51,92,79,98,74,121,109,165,99,138,83
"si:ch211-132g1.6",0,3,0,0,0,0,0,0,0,0,0,0
"si:ch211-132g1.4",1,0,3,1,2,1,5,1,0,0,1,5
"si:ch211-132g1.1",4,8,1,3,2,0,8,2,0,3,2,0
"si:ch211-132g1.7",82,77,98,91,59,77,76,96,74,94,32,91
"slc5a3a",0,1,0,0,0,0,0,1,0,0,0,1
"oxgr1a.1",0,0,3,4,1,0,4,1,0,0,0,1
"oxgr1a.3",0,0,0,0,0,0,0,0,0,0,0,0
"oxgr1a.2",0,3,0,0,0,0,0,0,0,0,0,0
"mbnl2",1871,1754,1990,2037,2016,1794,1563,2251,2033,2080,1170,2162
"rap2ab",135,155,133,112,188,170,110,237,162,181,30,111
"kpnb3",1007,1508,1433,1761,1343,1221,1278,1515,1823,1336,1655,1730
"farp1",1543,1174,1596,1632,1517,1301,1505,1534,1569,1280,1008,1404
"si:ch211-235f1.3",2,0,0,0,0,0,0,1,1,5,0,4
"ggact.3",5,4,2,1,1,2,7,3,8,3,2,2
"ggact.2",4,2,8,6,5,3,0,4,7,4,3,3
"ggact.1",30,28,29,19,14,16,19,10,24,20,14,7
"gpc6a",190,164,281,193,231,209,150,252,216,253,255,256
"LOC110439758",1,0,2,0,1,2,0,1,0,0,0,2
"gpc5a",41,44,55,58,54,37,38,23,67,38,57,42
"mir92a-1",7,2,10,7,15,7,9,12,9,6,18,15
"mir19b",0,0,0,0,0,0,0,0,0,0,0,0
"mir20a",0,0,0,0,0,0,0,0,0,0,0,0
"mir19a",0,0,0,0,0,0,0,0,0,0,0,0
"mir18a",0,0,0,0,0,0,0,0,0,0,0,0
"mir17a-1",0,0,0,0,0,0,0,0,0,0,0,0
"LOC103910100",9,3,10,13,22,14,5,9,6,9,1,15
"slitrk6",653,482,554,569,634,596,585,540,553,482,316,508
"LOC101887188",2,2,4,1,2,3,0,10,9,2,0,4
"slitrk1",3485,2671,3354,2862,3669,3162,3208,3864,2978,3433,1999,3476
"LOC101882161",0,0,0,0,0,0,0,0,3,0,0,0
"LOC103911774",0,0,1,0,1,1,0,1,0,0,0,0
"spry2",788,656,864,1068,1113,869,819,828,1126,755,907,884
