,sampleID,Genotype,Treatment,Group
sample1,wt_unexposed,wt,unexposed,wt_unexposed
sample10,wt_exposed,wt,exposed,wt_exposed
sample13,mut_unexposed,mutant,unexposed,mut_unexposed
sample14,mut_exposed,mutant,exposed,mut_exposed
sample17,wt_unexposed,wt,unexposed,wt_unexposed
sample18,wt_exposed,wt,exposed,wt_exposed
sample2,wt_exposed,wt,exposed,wt_exposed
sample21,mut_unexposed,mutant,unexposed,mut_unexposed
sample22,mut_exposed,mutant,exposed,mut_exposed
sample5,mut_unexposed,mutant,unexposed,mut_unexposed
sample6,mut_exposed,mutant,exposed,mut_exposed
sample9,wt_unexposed,wt,unexposed,wt_unexposed
